window,scenario,pairs,analyzed_pairs,difference,ci_low,ci_high
two_year_all,observed_pairs,1773,950,1.9320430742607746,-0.44069900948390706,4.292481410221923
two_year_all,missing_percentile_0,1773,1773,2.3627476491675354,0.4973259839080478,4.313254440564777
two_year_all,missing_pool_mean,1773,1773,1.3004284335591798,-0.14081531393733523,2.7230987316869384
two_year_all,missing_zero_citation_percentile,1773,1773,1.9366856409181228,0.3337857877927287,3.574053920132857
three_year_original,observed_pairs,946,750,1.3637601332707079,-1.1951917128277432,4.004940103052944
three_year_original,missing_percentile_0,946,946,1.8506704338448565,-0.603293623171975,4.273187925597469
three_year_original,missing_pool_mean,946,946,1.5405335667086808,-0.7241319781530657,3.7523481176514215
three_year_original,missing_zero_citation_percentile,946,946,1.761785111290266,-0.5975029063953309,4.082891913234407
