window,frame,budget,slots,scenario,contrast,estimate,ci_low,ci_high,ci90_low,ci90_high,within_five,ci95_half_width,passes_original_precision_gate
two_year,without_2020,1,71,observed_only,mean minus lottery,10.68919187357249,2.72793552372397,15.979201708321291,3.516132640395829,14.592665078730398,False,6.625633092298661,False
two_year,without_2020,1,71,observed_only,max minus lottery,9.22855301530194,2.0738961826251505,16.293102406680422,2.970094393781335,15.35359488093753,False,7.109603112027636,False
two_year,without_2020,1,71,observed_only,variance minus lottery,0.708350769429785,-6.284005634396644,8.901521218653123,-5.169146178199481,7.750624145929988,False,7.592763426524884,False
two_year,without_2020,1,71,observed_only,D2 minus lottery,3.7657302162536936,-6.615479306309596,10.349787070306888,-5.211075681514852,9.079063345400721,False,8.482633188308242,False
two_year,without_2020,1,71,observed_only,max_resid minus lottery,-0.35348414949107365,-7.459887402737535,9.327830383025663,-5.94739083245207,7.96405298357745,False,8.3938588928816,False
two_year,without_2020,1,71,observed_only,mean minus D2,6.923461657318796,-3.504669149141256,18.03304288588483,-1.8854304654412062,16.03469490700971,False,10.768856017513043,False
two_year,without_2020,1,71,observed_only,variance minus D2,-3.0573794468239086,-9.857450352539725,8.780139468136664,-8.187383936402618,7.26041107271456,False,9.318794910338195,False
two_year,without_2020,1,71,missing_percentile_0,mean minus lottery,12.714015760012852,3.501204843224031,18.286947602434577,4.900786731014157,16.831293667479517,False,7.392871379605273,False
two_year,without_2020,1,71,missing_percentile_0,max minus lottery,7.90939470200632,1.4635554679965632,16.062210437818706,2.468148061015375,14.681423489545192,False,7.299327484911071,False
two_year,without_2020,1,71,missing_percentile_0,variance minus lottery,3.6207816056132422,-3.470354747714589,11.392028486429922,-2.254892097777271,10.354946369581258,False,7.431191617072256,False
two_year,without_2020,1,71,missing_percentile_0,D2 minus lottery,-1.8967564509456558,-9.85734699768074,5.155953547690989,-9.030834478529483,3.3906776523102495,False,7.506650272685864,False
two_year,without_2020,1,71,missing_percentile_0,max_resid minus lottery,-2.5468088935156743,-8.519685611410898,6.211777543508392,-7.352689614298452,5.1213416973423636,False,7.365731577459645,False
two_year,without_2020,1,71,missing_percentile_0,mean minus D2,14.610772210958508,3.308925808535907,23.509097374519783,5.089216605533968,21.786136025569824,False,10.100085782991938,False
two_year,without_2020,1,71,missing_percentile_0,variance minus D2,5.517538056558898,-1.8371305555274045,15.248938260670696,-0.5539601666907804,13.997726104281547,False,8.54303440809905,False
two_year,without_2020,1,71,missing_pool_mean,mean minus lottery,8.210210080803428,1.976651350399806,12.163298380657563,2.488857829278671,11.228583864623149,False,5.093323515128879,False
two_year,without_2020,1,71,missing_pool_mean,max minus lottery,6.421003032516033,1.2907623979752019,11.969327886242061,1.9442775518090158,10.948368865269622,False,5.339282744133429,False
two_year,without_2020,1,71,missing_pool_mean,variance minus lottery,0.2827645740398097,-4.896344218135817,6.527880247054584,-4.109457502438753,5.608169831774774,False,5.7121122325952,False
two_year,without_2020,1,71,missing_pool_mean,D2 minus lottery,2.4254470810942763,-3.6739315489122992,6.445128446151667,-3.013258734037623,5.555273257871227,False,5.059529997531984,False
two_year,without_2020,1,71,missing_pool_mean,max_resid minus lottery,-0.27074909692503013,-4.7430688129989464,6.221632070285616,-3.8900512702885885,5.082671935964614,False,5.482350441642281,False
two_year,without_2020,1,71,missing_pool_mean,mean minus D2,5.784762999709152,-1.592541614696449,12.713016948615133,-0.45809085669154215,11.340438233078556,False,7.152779281655791,False
