window,scenario,pairs,analyzed_pairs,difference,ci_low,ci_high
two_year_all,observed_pairs,1012,698,0.1703704088420921,-2.604482678212151,2.7641735699923653
two_year_all,missing_percentile_0,1012,1012,0.6121245930637215,-1.900546519339647,2.9054190219189104
two_year_all,missing_pool_mean,1012,1012,0.17304205654944618,-1.886914391327843,2.092626496518874
two_year_all,missing_zero_citation_percentile,1012,1012,0.4431508088544028,-1.7691196311355153,2.5047785021372935
three_year_original,observed_pairs,699,607,0.039049580684561,-2.832470118085106,2.881036684832442
three_year_original,missing_percentile_0,699,699,0.5652996544173547,-2.1497541510532567,3.427244058589141
three_year_original,missing_pool_mean,699,699,0.3253495447967349,-2.2613049303740507,2.95788961059447
three_year_original,missing_zero_citation_percentile,699,699,0.5229049541958506,-2.149399155033982,3.260315595163325
