budget_pct,rule,lower,upper
1,D2,-47.13726957736058,51.135649524527174
1,mean,-35.384927418716956,49.36627923390765
1,variance,-43.79309641086823,43.23630036110437
1,max,-39.64579809130759,50.26187989898247
1,max_resid,-48.092129045277005,47.57537798963149
1,lottery,0.0,0.0
2,D2,-45.51186955902212,46.84990188421823
2,mean,-38.610943428981244,48.15563905987679
2,variance,-44.61570601173165,45.59197079822462
2,max,-39.488834810501345,49.55004003342128
2,max_resid,-45.62503486427347,47.79451950758384
2,lottery,0.0,0.0
5,D2,-48.00776552686371,46.05627470823457
5,mean,-38.30218683034448,47.12573215186724
5,variance,-44.85702105658902,45.28575508105277
5,max,-39.87107591138904,47.32840175944648
5,max_resid,-44.62170587071365,44.47941143018081
5,lottery,0.0,0.0
10,D2,-44.731729834500925,44.12839205358266
10,mean,-36.68964930674631,44.827242259416266
10,variance,-41.90696291685359,44.07101045061711
10,max,-39.11756895296792,45.87089141269348
10,max_resid,-44.111093583969605,42.69412242065859
10,lottery,0.0,0.0
