frame,budget_pct,rule,slots,selected_missing,baseline_difference,target_difference,reachable,delta_at_target,minimum_difference,maximum_difference
two_year,1,D2,71,29,2.42544708109474,-5,True,-18.303412849997514,-15.579175473211583,24.98947225357424
two_year,1,D2,71,29,2.42544708109474,0,True,-5.978624423050011,-15.579175473211583,24.98947225357424
two_year,1,D2,71,29,2.42544708109474,5,True,6.3461640038974885,-15.579175473211583,24.98947225357424
two_year,1,mean,71,15,8.210210080803908,-5,False,,-1.026401784954909,19.953434466726147
two_year,1,mean,71,15,8.210210080803908,0,True,-39.13381392643636,-1.026401784954909,19.953434466726147
two_year,1,mean,71,15,8.210210080803908,5,True,-15.301406752146033,-1.026401784954909,19.953434466726147
two_year,1,variance,71,17,0.28276457404027217,-5,True,-22.216616695576718,-10.112055079791316,13.66638358360814
two_year,1,variance,71,17,0.28276457404027217,0,True,-1.189163754790652,-10.112055079791316,13.66638358360814
two_year,1,variance,71,17,0.28276457404027217,5,True,19.838289185995414,-10.112055079791316,13.66638358360814
two_year,1,max,71,20,6.421003032516511,-5,True,-40.89780277643705,-5.809244854340447,22.162122775813458
two_year,1,max,71,20,6.421003032516511,0,True,-22.955627759847154,-5.809244854340447,22.162122775813458
two_year,1,max,71,20,6.421003032516511,5,True,-5.080205770791952,-5.809244854340447,22.162122775813458
two_year,1,max_resid,71,26,-0.2707490969245639,-5,True,-13.00405198690807,-16.241142337718994,20.126375323980962
two_year,1,max_resid,71,26,-0.2707490969245639,0,True,0.7444805538919148,-16.241142337718994,20.126375323980962
two_year,1,max_resid,71,26,-0.2707490969245639,5,True,14.4930130946919,-16.241142337718994,20.126375323980962
two_year,2,D2,140,44,0.9964288187150121,-5,True,-19.34336714493587,-12.718524274400226,18.281398199205356
two_year,2,D2,140,44,0.9964288187150121,0,True,-3.214294550457044,-12.718524274400226,18.281398199205356
two_year,2,D2,140,44,0.9964288187150121,5,True,12.914778044021784,-12.718524274400226,18.281398199205356
two_year,2,mean,140,33,6.174963612605895,-5,False,,-4.100543800225869,19.141816387174952
two_year,2,mean,140,33,6.174963612605895,0,True,-26.56771327359951,-4.100543800225869,19.141816387174952
two_year,2,mean,140,33,6.174963612605895,5,True,-5.055268067151015,-4.100543800225869,19.141816387174952
two_year,2,variance,140,40,1.1009202837792154,-5,True,-21.650896823964978,-11.284278274019877,16.894324826735843
