year,rejects,r2_mean_only,r2_mean_and_reviewer_count,partial_r2_reviewer_count,sst,sse,sse_mean_only
2017,244,0.7659386597787283,0.7796320929228004,0.058503609058749115,358.7991803278688,79.06782442986714,83.9810170178347
2018,491,0.7167724582685929,0.7241810807185359,0.026157846107243362,726.4765784114052,200.37598474072956,205.75817542890607
2019,917,0.7012735235041312,0.7068437531686855,0.018646588444032237,1218.4689203925846,357.20177558289384,363.9889273086021
2021,1735,0.6034707866886948,0.613110298656078,0.024309714502208448,2001.821325648415,774.4840548240093,793.78063544916
2022,1525,0.5777746225247566,0.5839998471755072,0.014743842939936918,2629.68262295082,1093.9483730274542,1110.318738115498
2023,2226,0.563994325757391,0.5814215786690744,0.03997024337345289,3934.1976639712484,1646.7702473889003,1715.3325050834817
2024,3487,0.5562750474187768,0.5675443951733626,0.025397146788861524,5934.065959277315,2566.2200835004314,2633.093136394178
