year,submissions,identity_resolved,citation_available,identity_percent,citation_percent
2017,490,484,481,98.77551020408163,98.16326530612245
2018,1018,963,960,94.59724950884086,94.30255402750491
2019,1579,1552,1537,98.29005699810007,97.34008866371121
2020,2594,2556,2528,98.53508095605243,97.45566692367001
2021,3014,2964,2939,98.34107498341075,97.51161247511612
2022,3422,2550,2313,74.51782583284628,67.59205143191116
2023,4955,3535,3125,71.34207870837538,63.06760847628658
2024,7404,5260,4774,71.042679632631,64.4786601836845
