frame,budget_pct,rule,comparator,scenario,difference,ci_low,ci_high,replicates,pointwise_exploratory
two_year_early,1,variance,lottery,observed_only,-1.2708095612010268,-9.832486050208564,10.232363855761056,2000,True
two_year_early,1,variance,lottery,missing_percentile_0,0.04976896290914112,-8.903451573601208,11.282667848455807,2000,True
two_year_early,1,variance,lottery,missing_pool_mean,-1.166893439589586,-8.807334074613703,8.994540950848707,2000,True
two_year_early,1,variance,lottery,missing_zero_citation_percentile,-0.3344018527827899,-8.333967122871039,10.193400664509998,2000,True
two_year_early,1,variance,mean,observed_only,-18.614231735155343,-28.48205406084699,-3.0671206109550893,2000,True
two_year_early,1,variance,mean,missing_percentile_0,-19.94106164622412,-29.45347690591996,-3.3201438287780434,2000,True
two_year_early,1,variance,mean,missing_pool_mean,-17.23255726109423,-25.687825361657175,-3.179199149292326,2000,True
two_year_early,1,variance,mean,missing_zero_citation_percentile,-18.806920539501156,-27.71085362222219,-3.6461310003870766,2000,True
two_year_early,1,variance,D2,observed_only,-4.3396063455782325,-12.897678570062912,9.148556872656657,2000,True
two_year_early,1,variance,D2,missing_percentile_0,-1.035710761266337,-10.25631398387182,13.997778461295589,2000,True
two_year_early,1,variance,D2,missing_pool_mean,-3.744215146396229,-11.299797385537628,7.712579282149488,2000,True
two_year_early,1,variance,D2,missing_zero_citation_percentile,-2.1698518679893155,-10.308566156192832,11.173065146189892,2000,True
two_year_early,2,variance,lottery,observed_only,-0.09985592951345268,-7.714270261134212,7.8271658520779495,2000,True
two_year_early,2,variance,lottery,missing_percentile_0,1.7350371079572255,-6.561921295327995,8.502648910290125,2000,True
two_year_early,2,variance,lottery,missing_pool_mean,-0.24050614304391615,-6.883790130505057,6.6942945392772275,2000,True
two_year_early,2,variance,lottery,missing_zero_citation_percentile,0.9811668154401119,-6.374833981395484,7.423425129945707,2000,True
two_year_early,2,variance,mean,observed_only,-11.106496734110621,-23.524625126949143,-2.888698311709534,2000,True
two_year_early,2,variance,mean,missing_percentile_0,-7.325061468591933,-21.19022538949887,0.11831717177313816,2000,True
two_year_early,2,variance,mean,missing_pool_mean,-9.55948503007724,-20.37091369659635,-2.6632767112342335,2000,True
two_year_early,2,variance,mean,missing_zero_citation_percentile,-8.186117653798071,-20.538571848873907,-1.289784100013509,2000,True
two_year_early,2,variance,D2,observed_only,-1.797751738485296,-9.522264634186273,7.48111524828378,2000,True
two_year_early,2,variance,D2,missing_percentile_0,1.8669749184541402,-6.555116359406743,10.181736355097927,2000,True
two_year_early,2,variance,D2,missing_pool_mean,-1.6662029860252616,-8.142429952500228,6.071404334209142,2000,True
two_year_early,2,variance,D2,missing_zero_citation_percentile,0.4511025828809494,-7.128139157688372,8.498655048127688,2000,True
two_year_early,5,variance,lottery,observed_only,1.963107057983244,-2.643175537875877,7.218815808927594,2000,True
two_year_early,5,variance,lottery,missing_percentile_0,1.431264268590212,-3.0884188431733994,6.651702167896814,2000,True
