id,frame,budget,rule,estimate,ci_low,ci_high,note
yield_three_year_max_missing_zero_citation_percentile_b5,2017-2022 ex2020 3yr,5%,max,8.305622,3.782862,13.127324,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_missing_zero_citation_percentile_b5_coverage,2017-2022 ex2020 3yr,5%,max,83.443709,,,"share of selections with an observed outcome, %"
yield_three_year_max_missing_zero_citation_percentile_b5_slots,2017-2022 ex2020 3yr,5%,max,151.000000,,,award slots at this budget
yield_three_year_max_resid_observed_only_b5,2017-2022 ex2020 3yr,5%,max_resid,1.900213,-3.206422,6.353591,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_observed_only_b5_coverage,2017-2022 ex2020 3yr,5%,max_resid,83.443709,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_observed_only_b5_slots,2017-2022 ex2020 3yr,5%,max_resid,151.000000,,,award slots at this budget
yield_three_year_max_resid_missing_percentile_0_b5,2017-2022 ex2020 3yr,5%,max_resid,1.379500,-3.314007,5.953106,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_missing_percentile_0_b5_coverage,2017-2022 ex2020 3yr,5%,max_resid,83.443709,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_missing_percentile_0_b5_slots,2017-2022 ex2020 3yr,5%,max_resid,151.000000,,,award slots at this budget
yield_three_year_max_resid_missing_pool_mean_b5,2017-2022 ex2020 3yr,5%,max_resid,1.528266,-2.738757,5.312417,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_missing_pool_mean_b5_coverage,2017-2022 ex2020 3yr,5%,max_resid,83.443709,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_missing_pool_mean_b5_slots,2017-2022 ex2020 3yr,5%,max_resid,151.000000,,,award slots at this budget
yield_three_year_max_resid_missing_zero_citation_percentile_b5,2017-2022 ex2020 3yr,5%,max_resid,1.459757,-2.931562,5.683134,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_missing_zero_citation_percentile_b5_coverage,2017-2022 ex2020 3yr,5%,max_resid,83.443709,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_missing_zero_citation_percentile_b5_slots,2017-2022 ex2020 3yr,5%,max_resid,151.000000,,,award slots at this budget
yield_three_year_lottery_observed_only_b5,2017-2022 ex2020 3yr,5%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_observed_only_b5_coverage,2017-2022 ex2020 3yr,5%,lottery,83.945167,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_observed_only_b5_slots,2017-2022 ex2020 3yr,5%,lottery,151.000000,,,award slots at this budget
yield_three_year_lottery_missing_percentile_0_b5,2017-2022 ex2020 3yr,5%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_missing_percentile_0_b5_coverage,2017-2022 ex2020 3yr,5%,lottery,83.945167,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_missing_percentile_0_b5_slots,2017-2022 ex2020 3yr,5%,lottery,151.000000,,,award slots at this budget
yield_three_year_lottery_missing_pool_mean_b5,2017-2022 ex2020 3yr,5%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_missing_pool_mean_b5_coverage,2017-2022 ex2020 3yr,5%,lottery,83.945167,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_missing_pool_mean_b5_slots,2017-2022 ex2020 3yr,5%,lottery,151.000000,,,award slots at this budget
yield_three_year_lottery_missing_zero_citation_percentile_b5,2017-2022 ex2020 3yr,5%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_missing_zero_citation_percentile_b5_coverage,2017-2022 ex2020 3yr,5%,lottery,83.945167,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_missing_zero_citation_percentile_b5_slots,2017-2022 ex2020 3yr,5%,lottery,151.000000,,,award slots at this budget
yield_three_year_D2_observed_only_b10,2017-2022 ex2020 3yr,10%,D2,-1.063745,-4.806011,1.910422,"selected minus lottery over the same pool, percentile points"
yield_three_year_D2_observed_only_b10_coverage,2017-2022 ex2020 3yr,10%,D2,80.730897,,,"share of selections with an observed outcome, %"
yield_three_year_D2_observed_only_b10_slots,2017-2022 ex2020 3yr,10%,D2,301.000000,,,award slots at this budget
yield_three_year_D2_missing_percentile_0_b10,2017-2022 ex2020 3yr,10%,D2,-2.161908,-5.412645,0.847719,"selected minus lottery over the same pool, percentile points"
yield_three_year_D2_missing_percentile_0_b10_coverage,2017-2022 ex2020 3yr,10%,D2,80.730897,,,"share of selections with an observed outcome, %"
yield_three_year_D2_missing_percentile_0_b10_slots,2017-2022 ex2020 3yr,10%,D2,301.000000,,,award slots at this budget
yield_three_year_D2_missing_pool_mean_b10,2017-2022 ex2020 3yr,10%,D2,-0.778343,-3.792382,1.606053,"selected minus lottery over the same pool, percentile points"
yield_three_year_D2_missing_pool_mean_b10_coverage,2017-2022 ex2020 3yr,10%,D2,80.730897,,,"share of selections with an observed outcome, %"
yield_three_year_D2_missing_pool_mean_b10_slots,2017-2022 ex2020 3yr,10%,D2,301.000000,,,award slots at this budget
yield_three_year_D2_missing_zero_citation_percentile_b10,2017-2022 ex2020 3yr,10%,D2,-1.715747,-4.796328,0.962988,"selected minus lottery over the same pool, percentile points"
yield_three_year_D2_missing_zero_citation_percentile_b10_coverage,2017-2022 ex2020 3yr,10%,D2,80.730897,,,"share of selections with an observed outcome, %"
yield_three_year_D2_missing_zero_citation_percentile_b10_slots,2017-2022 ex2020 3yr,10%,D2,301.000000,,,award slots at this budget
yield_three_year_mean_observed_only_b10,2017-2022 ex2020 3yr,10%,mean,11.083069,7.900141,14.096210,"selected minus lottery over the same pool, percentile points"
yield_three_year_mean_observed_only_b10_coverage,2017-2022 ex2020 3yr,10%,mean,88.372093,,,"share of selections with an observed outcome, %"
yield_three_year_mean_observed_only_b10_slots,2017-2022 ex2020 3yr,10%,mean,301.000000,,,award slots at this budget
yield_three_year_mean_missing_percentile_0_b10,2017-2022 ex2020 3yr,10%,mean,11.632388,8.348679,14.653959,"selected minus lottery over the same pool, percentile points"
yield_three_year_mean_missing_percentile_0_b10_coverage,2017-2022 ex2020 3yr,10%,mean,88.372093,,,"share of selections with an observed outcome, %"
yield_three_year_mean_missing_percentile_0_b10_slots,2017-2022 ex2020 3yr,10%,mean,301.000000,,,award slots at this budget
yield_three_year_mean_missing_pool_mean_b10,2017-2022 ex2020 3yr,10%,mean,9.675526,6.839966,12.266064,"selected minus lottery over the same pool, percentile points"
yield_three_year_mean_missing_pool_mean_b10_coverage,2017-2022 ex2020 3yr,10%,mean,88.372093,,,"share of selections with an observed outcome, %"
yield_three_year_mean_missing_pool_mean_b10_slots,2017-2022 ex2020 3yr,10%,mean,301.000000,,,award slots at this budget
yield_three_year_mean_missing_zero_citation_percentile_b10,2017-2022 ex2020 3yr,10%,mean,11.010402,7.898778,13.812699,"selected minus lottery over the same pool, percentile points"
yield_three_year_mean_missing_zero_citation_percentile_b10_coverage,2017-2022 ex2020 3yr,10%,mean,88.372093,,,"share of selections with an observed outcome, %"
yield_three_year_mean_missing_zero_citation_percentile_b10_slots,2017-2022 ex2020 3yr,10%,mean,301.000000,,,award slots at this budget
yield_three_year_variance_observed_only_b10,2017-2022 ex2020 3yr,10%,variance,3.575248,0.481938,7.070933,"selected minus lottery over the same pool, percentile points"
yield_three_year_variance_observed_only_b10_coverage,2017-2022 ex2020 3yr,10%,variance,85.382060,,,"share of selections with an observed outcome, %"
yield_three_year_variance_observed_only_b10_slots,2017-2022 ex2020 3yr,10%,variance,301.000000,,,award slots at this budget
yield_three_year_variance_missing_percentile_0_b10,2017-2022 ex2020 3yr,10%,variance,3.661509,0.468720,7.131474,"selected minus lottery over the same pool, percentile points"
yield_three_year_variance_missing_percentile_0_b10_coverage,2017-2022 ex2020 3yr,10%,variance,85.382060,,,"share of selections with an observed outcome, %"
yield_three_year_variance_missing_percentile_0_b10_slots,2017-2022 ex2020 3yr,10%,variance,301.000000,,,award slots at this budget
yield_three_year_variance_missing_pool_mean_b10,2017-2022 ex2020 3yr,10%,variance,2.998165,0.321807,5.990105,"selected minus lottery over the same pool, percentile points"
yield_three_year_variance_missing_pool_mean_b10_coverage,2017-2022 ex2020 3yr,10%,variance,85.382060,,,"share of selections with an observed outcome, %"
yield_three_year_variance_missing_pool_mean_b10_slots,2017-2022 ex2020 3yr,10%,variance,301.000000,,,award slots at this budget
yield_three_year_variance_missing_zero_citation_percentile_b10,2017-2022 ex2020 3yr,10%,variance,3.493971,0.528702,6.756261,"selected minus lottery over the same pool, percentile points"
yield_three_year_variance_missing_zero_citation_percentile_b10_coverage,2017-2022 ex2020 3yr,10%,variance,85.382060,,,"share of selections with an observed outcome, %"
yield_three_year_variance_missing_zero_citation_percentile_b10_slots,2017-2022 ex2020 3yr,10%,variance,301.000000,,,award slots at this budget
yield_three_year_max_observed_only_b10,2017-2022 ex2020 3yr,10%,max,9.019969,6.444530,13.293893,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_observed_only_b10_coverage,2017-2022 ex2020 3yr,10%,max,83.056478,,,"share of selections with an observed outcome, %"
yield_three_year_max_observed_only_b10_slots,2017-2022 ex2020 3yr,10%,max,301.000000,,,award slots at this budget
yield_three_year_max_missing_percentile_0_b10,2017-2022 ex2020 3yr,10%,max,7.144545,4.389050,11.159722,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_missing_percentile_0_b10_coverage,2017-2022 ex2020 3yr,10%,max,83.056478,,,"share of selections with an observed outcome, %"
yield_three_year_max_missing_percentile_0_b10_slots,2017-2022 ex2020 3yr,10%,max,301.000000,,,award slots at this budget
yield_three_year_max_missing_pool_mean_b10,2017-2022 ex2020 3yr,10%,max,7.471280,5.308846,11.027802,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_missing_pool_mean_b10_coverage,2017-2022 ex2020 3yr,10%,max,83.056478,,,"share of selections with an observed outcome, %"
yield_three_year_max_missing_pool_mean_b10_slots,2017-2022 ex2020 3yr,10%,max,301.000000,,,award slots at this budget
yield_three_year_max_missing_zero_citation_percentile_b10,2017-2022 ex2020 3yr,10%,max,7.293150,4.826414,11.137810,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_missing_zero_citation_percentile_b10_coverage,2017-2022 ex2020 3yr,10%,max,83.056478,,,"share of selections with an observed outcome, %"
yield_three_year_max_missing_zero_citation_percentile_b10_slots,2017-2022 ex2020 3yr,10%,max,301.000000,,,award slots at this budget
yield_three_year_max_resid_observed_only_b10,2017-2022 ex2020 3yr,10%,max_resid,-1.571349,-4.429024,2.030743,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_observed_only_b10_coverage,2017-2022 ex2020 3yr,10%,max_resid,83.388704,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_observed_only_b10_slots,2017-2022 ex2020 3yr,10%,max_resid,301.000000,,,award slots at this budget
yield_three_year_max_resid_missing_percentile_0_b10,2017-2022 ex2020 3yr,10%,max_resid,-1.520878,-4.261320,1.927324,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_missing_percentile_0_b10_coverage,2017-2022 ex2020 3yr,10%,max_resid,83.388704,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_missing_percentile_0_b10_slots,2017-2022 ex2020 3yr,10%,max_resid,301.000000,,,award slots at this budget
yield_three_year_max_resid_missing_pool_mean_b10,2017-2022 ex2020 3yr,10%,max_resid,-1.302454,-3.746646,1.691087,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_missing_pool_mean_b10_coverage,2017-2022 ex2020 3yr,10%,max_resid,83.388704,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_missing_pool_mean_b10_slots,2017-2022 ex2020 3yr,10%,max_resid,301.000000,,,award slots at this budget
yield_three_year_max_resid_missing_zero_citation_percentile_b10,2017-2022 ex2020 3yr,10%,max_resid,-1.418241,-3.998289,1.877182,"selected minus lottery over the same pool, percentile points"
yield_three_year_max_resid_missing_zero_citation_percentile_b10_coverage,2017-2022 ex2020 3yr,10%,max_resid,83.388704,,,"share of selections with an observed outcome, %"
yield_three_year_max_resid_missing_zero_citation_percentile_b10_slots,2017-2022 ex2020 3yr,10%,max_resid,301.000000,,,award slots at this budget
yield_three_year_lottery_observed_only_b10,2017-2022 ex2020 3yr,10%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_observed_only_b10_coverage,2017-2022 ex2020 3yr,10%,lottery,83.900886,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_observed_only_b10_slots,2017-2022 ex2020 3yr,10%,lottery,301.000000,,,award slots at this budget
yield_three_year_lottery_missing_percentile_0_b10,2017-2022 ex2020 3yr,10%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_missing_percentile_0_b10_coverage,2017-2022 ex2020 3yr,10%,lottery,83.900886,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_missing_percentile_0_b10_slots,2017-2022 ex2020 3yr,10%,lottery,301.000000,,,award slots at this budget
yield_three_year_lottery_missing_pool_mean_b10,2017-2022 ex2020 3yr,10%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_missing_pool_mean_b10_coverage,2017-2022 ex2020 3yr,10%,lottery,83.900886,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_missing_pool_mean_b10_slots,2017-2022 ex2020 3yr,10%,lottery,301.000000,,,award slots at this budget
yield_three_year_lottery_missing_zero_citation_percentile_b10,2017-2022 ex2020 3yr,10%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_three_year_lottery_missing_zero_citation_percentile_b10_coverage,2017-2022 ex2020 3yr,10%,lottery,83.900886,,,"share of selections with an observed outcome, %"
yield_three_year_lottery_missing_zero_citation_percentile_b10_slots,2017-2022 ex2020 3yr,10%,lottery,301.000000,,,award slots at this budget
yield_two_year_through_2022_D2_observed_only_b1,2017-2022 ex2020 2yr,1%,D2,3.068797,-9.179452,11.753393,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_observed_only_b1_coverage,2017-2022 ex2020 2yr,1%,D2,81.250000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_observed_only_b1_slots,2017-2022 ex2020 2yr,1%,D2,32.000000,,,award slots at this budget
yield_two_year_through_2022_D2_missing_percentile_0_b1,2017-2022 ex2020 2yr,1%,D2,1.085480,-11.381160,9.975416,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_missing_percentile_0_b1_coverage,2017-2022 ex2020 2yr,1%,D2,81.250000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_missing_percentile_0_b1_slots,2017-2022 ex2020 2yr,1%,D2,32.000000,,,award slots at this budget
yield_two_year_through_2022_D2_missing_pool_mean_b1,2017-2022 ex2020 2yr,1%,D2,2.577322,-7.172692,9.607559,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_missing_pool_mean_b1_coverage,2017-2022 ex2020 2yr,1%,D2,81.250000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_missing_pool_mean_b1_slots,2017-2022 ex2020 2yr,1%,D2,32.000000,,,award slots at this budget
yield_two_year_through_2022_D2_missing_zero_citation_percentile_b1,2017-2022 ex2020 2yr,1%,D2,1.835450,-9.334109,9.661523,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_missing_zero_citation_percentile_b1_coverage,2017-2022 ex2020 2yr,1%,D2,81.250000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_missing_zero_citation_percentile_b1_slots,2017-2022 ex2020 2yr,1%,D2,32.000000,,,award slots at this budget
yield_two_year_through_2022_mean_observed_only_b1,2017-2022 ex2020 2yr,1%,mean,17.343422,6.745889,24.658301,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_mean_observed_only_b1_coverage,2017-2022 ex2020 2yr,1%,mean,93.750000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_mean_observed_only_b1_slots,2017-2022 ex2020 2yr,1%,mean,32.000000,,,award slots at this budget
yield_two_year_through_2022_mean_missing_percentile_0_b1,2017-2022 ex2020 2yr,1%,mean,19.990831,7.602506,26.654746,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_mean_missing_percentile_0_b1_coverage,2017-2022 ex2020 2yr,1%,mean,93.750000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_mean_missing_percentile_0_b1_slots,2017-2022 ex2020 2yr,1%,mean,32.000000,,,award slots at this budget
yield_two_year_through_2022_mean_missing_pool_mean_b1,2017-2022 ex2020 2yr,1%,mean,16.065664,6.122662,22.342122,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_mean_missing_pool_mean_b1_coverage,2017-2022 ex2020 2yr,1%,mean,93.750000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_mean_missing_pool_mean_b1_slots,2017-2022 ex2020 2yr,1%,mean,32.000000,,,award slots at this budget
yield_two_year_through_2022_mean_missing_zero_citation_percentile_b1,2017-2022 ex2020 2yr,1%,mean,18.472519,7.518312,24.761794,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_mean_missing_zero_citation_percentile_b1_coverage,2017-2022 ex2020 2yr,1%,mean,93.750000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_mean_missing_zero_citation_percentile_b1_slots,2017-2022 ex2020 2yr,1%,mean,32.000000,,,award slots at this budget
yield_two_year_through_2022_variance_observed_only_b1,2017-2022 ex2020 2yr,1%,variance,-1.270810,-9.832486,10.232364,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_variance_observed_only_b1_coverage,2017-2022 ex2020 2yr,1%,variance,87.500000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_variance_observed_only_b1_slots,2017-2022 ex2020 2yr,1%,variance,32.000000,,,award slots at this budget
yield_two_year_through_2022_variance_missing_percentile_0_b1,2017-2022 ex2020 2yr,1%,variance,0.049769,-8.903452,11.282668,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_variance_missing_percentile_0_b1_coverage,2017-2022 ex2020 2yr,1%,variance,87.500000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_variance_missing_percentile_0_b1_slots,2017-2022 ex2020 2yr,1%,variance,32.000000,,,award slots at this budget
yield_two_year_through_2022_variance_missing_pool_mean_b1,2017-2022 ex2020 2yr,1%,variance,-1.166893,-8.807334,8.994541,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_variance_missing_pool_mean_b1_coverage,2017-2022 ex2020 2yr,1%,variance,87.500000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_variance_missing_pool_mean_b1_slots,2017-2022 ex2020 2yr,1%,variance,32.000000,,,award slots at this budget
yield_two_year_through_2022_variance_missing_zero_citation_percentile_b1,2017-2022 ex2020 2yr,1%,variance,-0.334402,-8.333967,10.193401,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_variance_missing_zero_citation_percentile_b1_coverage,2017-2022 ex2020 2yr,1%,variance,87.500000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_variance_missing_zero_citation_percentile_b1_slots,2017-2022 ex2020 2yr,1%,variance,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_observed_only_b1,2017-2022 ex2020 2yr,1%,max,13.136915,1.019110,23.096200,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_observed_only_b1_coverage,2017-2022 ex2020 2yr,1%,max,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_observed_only_b1_slots,2017-2022 ex2020 2yr,1%,max,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_missing_percentile_0_b1,2017-2022 ex2020 2yr,1%,max,5.875123,-3.899874,18.300216,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_missing_percentile_0_b1_coverage,2017-2022 ex2020 2yr,1%,max,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_missing_percentile_0_b1_slots,2017-2022 ex2020 2yr,1%,max,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_missing_pool_mean_b1,2017-2022 ex2020 2yr,1%,max,10.081359,0.961244,18.515623,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_missing_pool_mean_b1_coverage,2017-2022 ex2020 2yr,1%,max,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_missing_pool_mean_b1_slots,2017-2022 ex2020 2yr,1%,max,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_missing_zero_citation_percentile_b1,2017-2022 ex2020 2yr,1%,max,7.454450,-1.865467,18.205554,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_missing_zero_citation_percentile_b1_coverage,2017-2022 ex2020 2yr,1%,max,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_missing_zero_citation_percentile_b1_slots,2017-2022 ex2020 2yr,1%,max,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_resid_observed_only_b1,2017-2022 ex2020 2yr,1%,max_resid,-4.489071,-12.490469,9.162594,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_resid_observed_only_b1_coverage,2017-2022 ex2020 2yr,1%,max_resid,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_resid_observed_only_b1_slots,2017-2022 ex2020 2yr,1%,max_resid,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_resid_missing_percentile_0_b1,2017-2022 ex2020 2yr,1%,max_resid,-7.344366,-14.781956,6.446082,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_resid_missing_percentile_0_b1_coverage,2017-2022 ex2020 2yr,1%,max_resid,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_resid_missing_percentile_0_b1_slots,2017-2022 ex2020 2yr,1%,max_resid,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_resid_missing_pool_mean_b1,2017-2022 ex2020 2yr,1%,max_resid,-3.187645,-9.512377,7.468439,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_resid_missing_pool_mean_b1_coverage,2017-2022 ex2020 2yr,1%,max_resid,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_resid_missing_pool_mean_b1_slots,2017-2022 ex2020 2yr,1%,max_resid,32.000000,,,award slots at this budget
yield_two_year_through_2022_max_resid_missing_zero_citation_percentile_b1,2017-2022 ex2020 2yr,1%,max_resid,-5.703640,-12.109519,6.593828,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_max_resid_missing_zero_citation_percentile_b1_coverage,2017-2022 ex2020 2yr,1%,max_resid,75.000000,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_max_resid_missing_zero_citation_percentile_b1_slots,2017-2022 ex2020 2yr,1%,max_resid,32.000000,,,award slots at this budget
yield_two_year_through_2022_lottery_observed_only_b1,2017-2022 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_lottery_observed_only_b1_coverage,2017-2022 ex2020 2yr,1%,lottery,84.674397,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_lottery_observed_only_b1_slots,2017-2022 ex2020 2yr,1%,lottery,32.000000,,,award slots at this budget
yield_two_year_through_2022_lottery_missing_percentile_0_b1,2017-2022 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_lottery_missing_percentile_0_b1_coverage,2017-2022 ex2020 2yr,1%,lottery,84.674397,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_lottery_missing_percentile_0_b1_slots,2017-2022 ex2020 2yr,1%,lottery,32.000000,,,award slots at this budget
yield_two_year_through_2022_lottery_missing_pool_mean_b1,2017-2022 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_lottery_missing_pool_mean_b1_coverage,2017-2022 ex2020 2yr,1%,lottery,84.674397,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_lottery_missing_pool_mean_b1_slots,2017-2022 ex2020 2yr,1%,lottery,32.000000,,,award slots at this budget
yield_two_year_through_2022_lottery_missing_zero_citation_percentile_b1,2017-2022 ex2020 2yr,1%,lottery,0.000000,0.000000,0.000000,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_lottery_missing_zero_citation_percentile_b1_coverage,2017-2022 ex2020 2yr,1%,lottery,84.674397,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_lottery_missing_zero_citation_percentile_b1_slots,2017-2022 ex2020 2yr,1%,lottery,32.000000,,,award slots at this budget
yield_two_year_through_2022_D2_observed_only_b2,2017-2022 ex2020 2yr,2%,D2,1.697896,-6.588038,8.503897,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_observed_only_b2_coverage,2017-2022 ex2020 2yr,2%,D2,80.645161,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_observed_only_b2_slots,2017-2022 ex2020 2yr,2%,D2,62.000000,,,award slots at this budget
yield_two_year_through_2022_D2_missing_percentile_0_b2,2017-2022 ex2020 2yr,2%,D2,-0.131938,-7.908384,6.958533,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_missing_percentile_0_b2_coverage,2017-2022 ex2020 2yr,2%,D2,80.645161,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_missing_percentile_0_b2_slots,2017-2022 ex2020 2yr,2%,D2,62.000000,,,award slots at this budget
yield_two_year_through_2022_D2_missing_pool_mean_b2,2017-2022 ex2020 2yr,2%,D2,1.425697,-5.068514,6.810747,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_missing_pool_mean_b2_coverage,2017-2022 ex2020 2yr,2%,D2,80.645161,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_missing_pool_mean_b2_slots,2017-2022 ex2020 2yr,2%,D2,62.000000,,,award slots at this budget
yield_two_year_through_2022_D2_missing_zero_citation_percentile_b2,2017-2022 ex2020 2yr,2%,D2,0.530064,-6.536917,6.781273,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_D2_missing_zero_citation_percentile_b2_coverage,2017-2022 ex2020 2yr,2%,D2,80.645161,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_D2_missing_zero_citation_percentile_b2_slots,2017-2022 ex2020 2yr,2%,D2,62.000000,,,award slots at this budget
yield_two_year_through_2022_mean_observed_only_b2,2017-2022 ex2020 2yr,2%,mean,11.006641,5.734549,20.088877,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_mean_observed_only_b2_coverage,2017-2022 ex2020 2yr,2%,mean,83.870968,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_mean_observed_only_b2_slots,2017-2022 ex2020 2yr,2%,mean,62.000000,,,award slots at this budget
yield_two_year_through_2022_mean_missing_percentile_0_b2,2017-2022 ex2020 2yr,2%,mean,9.060099,4.188695,19.081301,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2022_mean_missing_percentile_0_b2_coverage,2017-2022 ex2020 2yr,2%,mean,83.870968,,,"share of selections with an observed outcome, %"
yield_two_year_through_2022_mean_missing_percentile_0_b2_slots,2017-2022 ex2020 2yr,2%,mean,62.000000,,,award slots at this budget
yield_two_year_through_2022_mean_missing_pool_mean_b2,2017-2022 ex2020 2yr,2%,mean,9.318979,4.963706,17.189798,"selected minus lottery over the same pool, percentile points"
