id,frame,budget,rule,estimate,ci_low,ci_high,note
yield_two_year_through_2024_max_missing_pool_mean_b1,2017-2024 ex2020 2yr,1%,max,6.421003,1.290762,11.969328,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_missing_pool_mean_b1_coverage,2017-2024 ex2020 2yr,1%,max,71.830986,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_missing_pool_mean_b1_slots,2017-2024 ex2020 2yr,1%,max,71.000000,,,award slots at this budget
yield_two_year_through_2024_max_missing_zero_citation_percentile_b1,2017-2024 ex2020 2yr,1%,max,7.104549,1.554135,13.911068,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_missing_zero_citation_percentile_b1_coverage,2017-2024 ex2020 2yr,1%,max,71.830986,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_missing_zero_citation_percentile_b1_slots,2017-2024 ex2020 2yr,1%,max,71.000000,,,award slots at this budget
yield_two_year_through_2024_max_resid_observed_only_b1,2017-2024 ex2020 2yr,1%,max_resid,-0.353484,-7.459887,9.327830,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_observed_only_b1_coverage,2017-2024 ex2020 2yr,1%,max_resid,63.380282,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_observed_only_b1_slots,2017-2024 ex2020 2yr,1%,max_resid,71.000000,,,award slots at this budget
yield_two_year_through_2024_max_resid_missing_percentile_0_b1,2017-2024 ex2020 2yr,1%,max_resid,-2.546809,-8.519686,6.211778,"selected minus lottery over the same pool, percentile points"
yield_two_year_through_2024_max_resid_missing_percentile_0_b1_coverage,2017-2024 ex2020 2yr,1%,max_resid,63.380282,,,"share of selections with an observed outcome, %"
yield_two_year_through_2024_max_resid_missing_percentile_0_b1_slots,2017-2024 ex2020 2yr,1%,max_resid,71.000000,,,award slots at this budget
