frame,budget,margin,within
three_year,5,8.25,True
three_year,5,8.5,True
three_year,5,8.75,True
three_year,5,9.0,True
three_year,5,9.25,True
three_year,5,9.5,True
three_year,5,9.75,True
three_year,5,10.0,True
three_year,10,0.5,False
three_year,10,0.75,False
three_year,10,1.0,False
three_year,10,1.25,False
three_year,10,1.5,False
three_year,10,1.75,False
three_year,10,2.0,False
three_year,10,2.25,False
three_year,10,2.5,False
three_year,10,2.75,False
three_year,10,3.0,False
three_year,10,3.25,False
three_year,10,3.5,False
three_year,10,3.75,False
three_year,10,4.0,False
three_year,10,4.25,True
three_year,10,4.5,True
three_year,10,4.75,True
three_year,10,5.0,True
three_year,10,5.25,True
three_year,10,5.5,True
three_year,10,5.75,True
three_year,10,6.0,True
three_year,10,6.25,True
three_year,10,6.5,True
three_year,10,6.75,True
three_year,10,7.0,True
three_year,10,7.25,True
three_year,10,7.5,True
three_year,10,7.75,True
three_year,10,8.0,True
three_year,10,8.25,True
three_year,10,8.5,True
three_year,10,8.75,True
three_year,10,9.0,True
three_year,10,9.25,True
three_year,10,9.5,True
three_year,10,9.75,True
three_year,10,10.0,True
