budget_pct,rule,comparator,scenario,difference,ci_low,ci_high
1,mean,D2,observed_only,6.923461657318796,-3.504669149141256,18.03304288588483
1,mean,D2,missing_percentile_0,14.610772210958512,3.308925808535907,23.509097374519783
1,mean,D2,missing_pool_mean,5.784762999709159,-1.592541614696449,12.713016948615133
1,mean,D2,missing_zero_citation_percentile,10.812713639046954,1.6792730970065677,18.195692634421977
1,variance,mean,observed_only,-9.980841104142698,-17.500972379221533,1.8762654954079572
1,variance,mean,missing_percentile_0,-9.093234154399616,-16.63233376318206,2.814984479460932
1,variance,mean,missing_pool_mean,-7.927445506763618,-13.546442501778584,1.2308128285034268
1,variance,mean,missing_zero_citation_percentile,-8.659742965058712,-14.83400190310422,1.682142275325191
1,variance,D2,observed_only,-3.0573794468239015,-9.857450352539724,8.780139468136664
1,variance,D2,missing_percentile_0,5.5175380565588945,-1.8371305555274045,15.248938260670696
1,variance,D2,missing_pool_mean,-2.1426825070544595,-6.578557240947139,5.571596355827168
1,variance,D2,missing_zero_citation_percentile,2.152970673988243,-3.714704644431783,10.663153042345426
1,max,D2,observed_only,5.462822799048247,-3.0063598050106246,17.624027002678776
1,max,D2,missing_percentile_0,9.806151152951973,1.3834461627536498,20.85781516121387
1,max,D2,missing_pool_mean,3.995555951421764,-1.624635255646551,12.160911708829712
1,max,D2,missing_zero_citation_percentile,7.1111035842558294,0.1610634148269621,16.74495706127646
1,max_resid,D2,observed_only,-4.119214365744767,-8.915988108583063,7.057577255556964
1,max_resid,D2,missing_percentile_0,-0.650052442570022,-4.917846123293224,8.790904393238359
1,max_resid,D2,missing_pool_mean,-2.6961961780192993,-5.527350918991044,4.1623805329567665
1,max_resid,D2,missing_zero_citation_percentile,-1.7141230200559503,-4.981940775403261,6.359540886523515
2,mean,D2,observed_only,6.78857261639785,0.2665376147400285,15.497233124410776
2,mean,D2,missing_percentile_0,8.66221105112363,2.763549687906834,17.48489137026393
2,mean,D2,missing_pool_mean,5.178534793890883,0.4929885423991004,11.541188584815592
2,mean,D2,missing_zero_citation_percentile,7.157460421650235,2.084128541240285,14.638670010041292
2,variance,mean,observed_only,-6.525254084895032,-14.994945137365267,-0.5197414365233355
2,variance,mean,missing_percentile_0,-7.210925665757358,-15.7176472315818,-1.241137677758724
2,variance,mean,missing_pool_mean,-5.074043328826676,-11.462001283977616,-0.6741188424813921
2,variance,mean,missing_zero_citation_percentile,-6.3421179485791725,-13.75832076694684,-1.3405824212964137
2,variance,D2,observed_only,0.2633185315028186,-6.264155213780918,6.92025940691893
2,variance,D2,missing_percentile_0,1.4512853853662726,-4.089244261548563,7.616643074526895
2,variance,D2,missing_pool_mean,0.104491465064207,-4.412914428105813,4.633754438797121
2,variance,D2,missing_zero_citation_percentile,0.8153424730710626,-4.0563997663156135,5.9830132850713165
2,max,D2,observed_only,6.723569042062223,0.0594924313640724,14.05785709996596
2,max,D2,missing_percentile_0,7.157227055243947,0.8815819977889987,13.828289201134552
2,max,D2,missing_pool_mean,4.876728219128921,0.0893193190881509,9.972997837529276
2,max,D2,missing_zero_citation_percentile,6.116002535042142,0.5946466799901501,11.77685827525091
2,max_resid,D2,observed_only,0.7529318528169711,-4.303818269430948,4.799315432755829
2,max_resid,D2,missing_percentile_0,-0.126060401683592,-3.905801524062048,3.3550330295672013
2,max_resid,D2,missing_pool_mean,0.4306163553603781,-2.982035144456562,3.1774580625237174
2,max_resid,D2,missing_zero_citation_percentile,0.0515497908589424,-3.405997952597345,3.179343965165887
5,mean,D2,observed_only,9.505244844435794,4.39485139948557,13.97799537241254
5,mean,D2,missing_percentile_0,12.820915637383354,8.289867150563271,16.862801603001824
5,mean,D2,missing_pool_mean,6.767869043782113,3.2474308247404,10.033337658185934
