frame,through,caliper,stage,covariate,treated_n,control_n,treated_mean,control_mean,prematch_pooled_sd,smd
two_year,2022,0.0,before,mean,2566,2346,5.314582637419738,4.304156010230178,0.7374554669612617,1.3701527379722267
two_year,2022,0.0,matched,mean,699,699,5.045994277539342,5.045994277539342,0.7374554669612617,0.0
two_year,2022,0.0,matched_both_resolved,mean,607,607,5.0811367380560135,5.0811367380560135,0.7374554669612617,0.0
two_year,2022,0.0,before,n_rev,2566,2346,3.6457521434138735,3.574168797953964,0.6049019491042328,0.11833875815066144
two_year,2022,0.0,matched,n_rev,699,699,3.603719599427754,3.603719599427754,0.6049019491042328,0.0
two_year,2022,0.0,matched_both_resolved,n_rev,607,607,3.5716639209225702,3.5716639209225702,0.6049019491042328,0.0
two_year,2022,0.25,before,mean,2566,2346,5.314582637419738,4.304156010230178,0.7374554669612617,1.3701527379722267
two_year,2022,0.25,matched,mean,946,946,4.992653276955603,4.873255813953489,0.7374554669612617,0.16190464150208284
two_year,2022,0.25,matched_both_resolved,mean,750,750,5.119199999999999,5.004,0.7374554669612617,0.15621282255142757
two_year,2022,0.25,before,n_rev,2566,2346,3.6457521434138735,3.574168797953964,0.6049019491042328,0.11833875815066144
two_year,2022,0.25,matched,n_rev,946,946,3.7399577167019027,3.7399577167019027,0.6049019491042328,0.0
two_year,2022,0.25,matched_both_resolved,n_rev,750,750,3.6786666666666665,3.6786666666666665,0.6049019491042328,0.0
two_year,2024,0.0,before,mean,6582,4043,5.2023807715124954,4.073196471267211,0.7700310088899098,1.46641406282214
two_year,2024,0.0,matched,mean,1012,1012,4.959239130434782,4.959239130434782,0.7700310088899098,0.0
two_year,2024,0.0,matched_both_resolved,mean,698,698,5.040663801337153,5.040663801337153,0.7700310088899098,0.0
two_year,2024,0.0,before,n_rev,6582,4043,3.788666058948648,3.6339351966361613,0.6192678161421821,0.24986097820552783
two_year,2024,0.0,matched,n_rev,1012,1012,3.6531620553359683,3.6531620553359683,0.6192678161421821,0.0
two_year,2024,0.0,matched_both_resolved,n_rev,698,698,3.5902578796561606,3.5902578796561606,0.6192678161421821,0.0
two_year,2024,0.25,before,mean,6582,4043,5.2023807715124954,4.073196471267211,0.7700310088899098,1.46641406282214
two_year,2024,0.25,matched,mean,1773,1773,4.705818762925363,4.568095506674187,0.7700310088899098,0.17885416906745139
two_year,2024,0.25,matched_both_resolved,mean,950,950,4.9828245614035085,4.860350877192982,0.7700310088899098,0.15905032757977752
two_year,2024,0.25,before,n_rev,6582,4043,3.788666058948648,3.6339351966361613,0.6192678161421821,0.24986097820552783
two_year,2024,0.25,matched,n_rev,1773,1773,3.8454596728708403,3.8454596728708403,0.6192678161421821,0.0
two_year,2024,0.25,matched_both_resolved,n_rev,950,950,3.7263157894736842,3.7263157894736842,0.6192678161421821,0.0
three_year,2024,0.0,before,mean,2566,2346,5.314582637419738,4.304156010230178,0.7374554669612617,1.3701527379722267
three_year,2024,0.0,matched,mean,699,699,5.045994277539342,5.045994277539342,0.7374554669612617,0.0
three_year,2024,0.0,matched_both_resolved,mean,607,607,5.0811367380560135,5.0811367380560135,0.7374554669612617,0.0
three_year,2024,0.0,before,n_rev,2566,2346,3.6457521434138735,3.574168797953964,0.6049019491042328,0.11833875815066144
three_year,2024,0.0,matched,n_rev,699,699,3.603719599427754,3.603719599427754,0.6049019491042328,0.0
three_year,2024,0.0,matched_both_resolved,n_rev,607,607,3.5716639209225702,3.5716639209225702,0.6049019491042328,0.0
three_year,2024,0.25,before,mean,2566,2346,5.314582637419738,4.304156010230178,0.7374554669612617,1.3701527379722267
three_year,2024,0.25,matched,mean,946,946,4.992653276955603,4.873255813953489,0.7374554669612617,0.16190464150208284
three_year,2024,0.25,matched_both_resolved,mean,750,750,5.119199999999999,5.004,0.7374554669612617,0.15621282255142757
three_year,2024,0.25,before,n_rev,2566,2346,3.6457521434138735,3.574168797953964,0.6049019491042328,0.11833875815066144
three_year,2024,0.25,matched,n_rev,946,946,3.7399577167019027,3.7399577167019027,0.6049019491042328,0.0
three_year,2024,0.25,matched_both_resolved,n_rev,750,750,3.6786666666666665,3.6786666666666665,0.6049019491042328,0.0
