budget_pct,rule,lower,upper
1,D2,-36.7915035658753,42.73976164010456
1,mean,-25.994803363095677,44.144571960853554
1,variance,-38.38150243691361,36.45381782805095
1,max,-32.77503879664583,46.31773910374663
1,max_resid,-41.922162936146904,40.38587386815811
1,lottery,0.0,0.0
2,D2,-37.161372309002616,39.66295628658634
2,mean,-30.666404488427332,42.50147720900354
2,variance,-38.047258527248175,37.573192553054454
2,max,-32.0459167108243,44.506230196277244
2,max_resid,-37.18107220490963,41.21867777372587
2,lottery,0.0,0.0
5,D2,-40.162379367145476,38.39741986589836
5,mean,-29.447952503873644,41.69968793269053
5,variance,-36.811773244361774,38.766475103755255
5,max,-31.581395877289005,41.95376231886434
5,max_resid,-36.67123432218323,38.39752609933915
5,lottery,0.0,0.0
10,D2,-36.66336655874275,36.456949717102916
10,mean,-28.18146943447514,39.464625501186475
10,variance,-33.11778895592036,37.6507814791978
10,max,-31.139327220513014,40.350614550195914
10,max_resid,-36.36978352506454,35.39067281650074
10,lottery,0.0,0.0
